SIGHTINGDATE,LAT,LON,Presence,SOURCE,SOURCE_DETAIL,PACKAGE_ID,Season,SST_Celsius,Frontal_Value,Chlorophyll_mg_m3,Salinity_PSU,SST_is_observed,Frontal_is_observed,Chlorophyll_is_observed,Salinity_is_observed,Any_env_missing
2018-12-18,24.45895,-81.774133,0,Acoustic,SanctSound/NOAA daily product,sanctsound_fk03_01_northatlanticrightwhale_1d,Winter,,,,,0,0,0,0,1
2018-12-18,24.4888,-81.666316,0,Acoustic,SanctSound/NOAA daily product,sanctsound_fk02_01_northatlanticrightwhale_1d,Winter,,,,,0,0,0,0,1
2018-12-18,31.396417,-80.8904,0,Acoustic,SanctSound/NOAA daily product,sanctsound_gr01_01_northatlanticrightwhale_1d,Winter,,,,,0,0,0,0,1
2018-12-18,42.25541,-70.178607,0,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_01_northatlanticrightwhale_1d,Winter,,,,,0,0,0,0,1
2018-12-18,42.436838,-70.546958,0,Acoustic,SanctSound/NOAA daily product,sanctsound_sb01_01_northatlanticrightwhale_1d,Winter,,,,,0,0,0,0,1
2018-12-18,42.470793,-70.24294,0,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_01_northatlanticrightwhale_1d,Winter,,,,,0,0,0,0,1
2018-12-19,24.43313,-81.93068,0,Acoustic,SanctSound/NOAA daily product,sanctsound_fk01_01_northatlanticrightwhale_1d,Winter,,,,,0,0,0,0,1
2018-12-19,24.45895,-81.774133,0,Acoustic,SanctSound/NOAA daily product,sanctsound_fk03_01_northatlanticrightwhale_1d,Winter,,,,,0,0,0,0,1
2018-12-19,24.4888,-81.666316,0,Acoustic,SanctSound/NOAA daily product,sanctsound_fk02_01_northatlanticrightwhale_1d,Winter,,,,,0,0,0,0,1
2018-12-19,31.396417,-80.8904,0,Acoustic,SanctSound/NOAA daily product,sanctsound_gr01_01_northatlanticrightwhale_1d,Winter,,,,,0,0,0,0,1
2018-12-19,42.25541,-70.178607,0,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_01_northatlanticrightwhale_1d,Winter,,,,,0,0,0,0,1
2018-12-19,42.436838,-70.546958,0,Acoustic,SanctSound/NOAA daily product,sanctsound_sb01_01_northatlanticrightwhale_1d,Winter,,,,,0,0,0,0,1
2018-12-19,42.470793,-70.24294,0,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_01_northatlanticrightwhale_1d,Winter,,,,,0,0,0,0,1
2018-12-20,24.43313,-81.93068,0,Acoustic,SanctSound/NOAA daily product,sanctsound_fk01_01_northatlanticrightwhale_1d,Winter,,,,,0,0,0,0,1
2018-12-20,24.45895,-81.774133,0,Acoustic,SanctSound/NOAA daily product,sanctsound_fk03_01_northatlanticrightwhale_1d,Winter,,,,,0,0,0,0,1
2018-12-20,24.4888,-81.666316,0,Acoustic,SanctSound/NOAA daily product,sanctsound_fk02_01_northatlanticrightwhale_1d,Winter,,,,,0,0,0,0,1
2018-12-20,31.396417,-80.8904,0,Acoustic,SanctSound/NOAA daily product,sanctsound_gr01_01_northatlanticrightwhale_1d,Winter,,,,,0,0,0,0,1
2018-12-20,42.25541,-70.178607,0,Acoustic,SanctSound/NOAA daily product,sanctsound_sb03_01_northatlanticrightwhale_1d,Winter,,,,,0,0,0,0,1
2018-12-20,42.436838,-70.546958,0,Acoustic,SanctSound/NOAA daily product,sanctsound_sb01_01_northatlanticrightwhale_1d,Winter,,,,,0,0,0,0,1
2018-12-20,42.470793,-70.24294,0,Acoustic,SanctSound/NOAA daily product,sanctsound_sb02_01_northatlanticrightwhale_1d,Winter,,,,,0,0,0,0,1
2018-12-21,24.43313,-81.93068,0,Acoustic,SanctSound/NOAA daily product,sanctsound_fk01_01_northatlanticrightwhale_1d,Winter,,,,,0,0,0,0,1
